001  00437 |Loss: 2.048 | Acc: 24.671% 
001  00438 |Loss: 2.048 | Acc: 24.679% 
001  00439 |Loss: 2.047 | Acc: 24.751% 
001  00440 |Loss: 2.047 | Acc: 24.766% 
001  00441 |Loss: 2.047 | Acc: 24.752% 
001  00442 |Loss: 2.046 | Acc: 24.767% 
001  00443 |Loss: 2.046 | Acc: 24.767% 
001  00444 |Loss: 2.045 | Acc: 24.754% 
001  00445 |Loss: 2.045 | Acc: 24.768% 
001  00446 |Loss: 2.044 | Acc: 24.783% 
001  00447 |Loss: 2.043 | Acc: 24.811% 
001  00448 |Loss: 2.043 | Acc: 24.833% 
001  00449 |Loss: 2.041 | Acc: 24.889% 
001  00450 |Loss: 2.040 | Acc: 24.938% 
001  00451 |Loss: 2.040 | Acc: 24.951% 
001  00452 |Loss: 2.039 | Acc: 24.959% 
001  00453 |Loss: 2.038 | Acc: 24.986% 
001  00454 |Loss: 2.037 | Acc: 24.993% 
001  00455 |Loss: 2.036 | Acc: 25.034% 
001  00456 |Loss: 2.035 | Acc: 25.069% 
001  00457 |Loss: 2.035 | Acc: 25.075% 
001  00458 |Loss: 2.034 | Acc: 25.102% 
001  00459 |Loss: 2.034 | Acc: 25.109% 
001  00460 |Loss: 2.034 | Acc: 25.102% 
001  00461 |Loss: 2.034 | Acc: 25.115% 
001  00462 |Loss: 2.034 | Acc: 25.108% 
001  00463 |Loss: 2.034 | Acc: 25.115% 
001  00464 |Loss: 2.033 | Acc: 25.114% 
001  00465 |Loss: 2.033 | Acc: 25.121% 
001  00466 |Loss: 2.032 | Acc: 25.134% 
001  00467 |Loss: 2.032 | Acc: 25.147% 
001  00468 |Loss: 2.031 | Acc: 25.160% 
001  00469 |Loss: 2.031 | Acc: 25.180% 
001  00470 |Loss: 2.030 | Acc: 25.186% 
001  00471 |Loss: 2.030 | Acc: 25.192% 
001  00472 |Loss: 2.030 | Acc: 25.192% 
001  00473 |Loss: 2.030 | Acc: 25.178% 
001  00474 |Loss: 2.031 | Acc: 25.158% 
001  00475 |Loss: 2.030 | Acc: 25.151% 
001  00476 |Loss: 2.029 | Acc: 25.190% 
001  00477 |Loss: 2.029 | Acc: 25.177% 
001  00478 |Loss: 2.029 | Acc: 25.190% 
001  00479 |Loss: 2.028 | Acc: 25.209% 
001  00480 |Loss: 2.028 | Acc: 25.241% 
001  00481 |Loss: 2.028 | Acc: 25.247% 
001  00482 |Loss: 2.027 | Acc: 25.285% 
001  00483 |Loss: 2.027 | Acc: 25.304% 
001  00484 |Loss: 2.026 | Acc: 25.310% 
001  00485 |Loss: 2.025 | Acc: 25.341% 
001  00486 |Loss: 2.024 | Acc: 25.360% 
001  00487 |Loss: 2.023 | Acc: 25.385% 
001  00488 |Loss: 2.023 | Acc: 25.378% 
001  00489 |Loss: 2.023 | Acc: 25.383% 
001  00490 |Loss: 2.022 | Acc: 25.415% 
001  00491 |Loss: 2.022 | Acc: 25.420% 
001  00492 |Loss: 2.021 | Acc: 25.407% 
001  00493 |Loss: 2.021 | Acc: 25.393% 
001  00494 |Loss: 2.021 | Acc: 25.392% 
001  00495 |Loss: 2.020 | Acc: 25.436% 
001  00496 |Loss: 2.020 | Acc: 25.441% 
001  00497 |Loss: 2.019 | Acc: 25.459% 
001  00498 |Loss: 2.018 | Acc: 25.496% 
001  00499 |Loss: 2.018 | Acc: 25.514% 
001  00500 |Loss: 2.018 | Acc: 25.513% 
001  00501 |Loss: 2.018 | Acc: 25.524% 
001  00502 |Loss: 2.017 | Acc: 25.523% 
001  00503 |Loss: 2.016 | Acc: 25.559% 
001  00504 |Loss: 2.016 | Acc: 25.595% 
001  00505 |Loss: 2.015 | Acc: 25.619% 
001  00506 |Loss: 2.015 | Acc: 25.648% 
001  00507 |Loss: 2.015 | Acc: 25.678% 
001  00508 |Loss: 2.015 | Acc: 25.720% 
001  00509 |Loss: 2.015 | Acc: 25.706% 
001  00510 |Loss: 2.014 | Acc: 25.735% 
001  00511 |Loss: 2.014 | Acc: 25.771% 
001  00512 |Loss: 2.013 | Acc: 25.787% 
001  00513 |Loss: 2.013 | Acc: 25.786% 
001  00514 |Loss: 2.013 | Acc: 25.790% 
001  00515 |Loss: 2.012 | Acc: 25.807% 
001  00516 |Loss: 2.011 | Acc: 25.830% 
001  00517 |Loss: 2.011 | Acc: 25.864% 
001  00518 |Loss: 2.010 | Acc: 25.899% 
